2023/07/18 02:00:07 [INFO] graphing is cgi, do nothing
2023/07/18 02:05:07 [INFO] graphing is cgi, do nothing
2023/07/18 02:10:07 [INFO] graphing is cgi, do nothing
2023/07/18 02:15:07 [INFO] graphing is cgi, do nothing
2023/07/18 02:20:07 [INFO] graphing is cgi, do nothing
2023/07/18 02:25:07 [INFO] graphing is cgi, do nothing
2023/07/18 02:30:07 [INFO] graphing is cgi, do nothing
2023/07/18 02:35:08 [INFO] graphing is cgi, do nothing
2023/07/18 02:40:08 [INFO] graphing is cgi, do nothing
2023/07/18 02:45:07 [INFO] graphing is cgi, do nothing
2023/07/18 02:50:07 [INFO] graphing is cgi, do nothing
2023/07/18 02:55:07 [INFO] graphing is cgi, do nothing
2023/07/18 03:00:07 [INFO] graphing is cgi, do nothing
2023/07/18 03:05:07 [INFO] graphing is cgi, do nothing
2023/07/18 03:10:07 [INFO] graphing is cgi, do nothing
2023/07/18 03:15:07 [INFO] graphing is cgi, do nothing
2023/07/18 03:20:07 [INFO] graphing is cgi, do nothing
2023/07/18 03:25:07 [INFO] graphing is cgi, do nothing
2023/07/18 03:30:07 [INFO] graphing is cgi, do nothing
2023/07/18 03:35:07 [INFO] graphing is cgi, do nothing
2023/07/18 03:40:07 [INFO] graphing is cgi, do nothing
2023/07/18 03:45:07 [INFO] graphing is cgi, do nothing
2023/07/18 03:50:07 [INFO] graphing is cgi, do nothing
2023/07/18 03:55:07 [INFO] graphing is cgi, do nothing
2023/07/18 04:00:08 [INFO] graphing is cgi, do nothing
2023/07/18 04:05:07 [INFO] graphing is cgi, do nothing
2023/07/18 04:10:07 [INFO] graphing is cgi, do nothing
2023/07/18 04:15:07 [INFO] graphing is cgi, do nothing
2023/07/18 04:20:07 [INFO] graphing is cgi, do nothing
2023/07/18 04:25:07 [INFO] graphing is cgi, do nothing
2023/07/18 04:30:07 [INFO] graphing is cgi, do nothing
2023/07/18 04:35:07 [INFO] graphing is cgi, do nothing
2023/07/18 04:40:07 [INFO] graphing is cgi, do nothing
2023/07/18 04:45:07 [INFO] graphing is cgi, do nothing
2023/07/18 04:50:07 [INFO] graphing is cgi, do nothing
2023/07/18 04:55:07 [INFO] graphing is cgi, do nothing
2023/07/18 05:00:07 [INFO] graphing is cgi, do nothing
2023/07/18 05:05:07 [INFO] graphing is cgi, do nothing
2023/07/18 05:10:07 [INFO] graphing is cgi, do nothing
2023/07/18 05:15:07 [INFO] graphing is cgi, do nothing
2023/07/18 05:20:07 [INFO] graphing is cgi, do nothing
2023/07/18 05:25:07 [INFO] graphing is cgi, do nothing
2023/07/18 05:30:07 [INFO] graphing is cgi, do nothing
2023/07/18 05:35:07 [INFO] graphing is cgi, do nothing
2023/07/18 05:40:07 [INFO] graphing is cgi, do nothing
2023/07/18 05:45:07 [INFO] graphing is cgi, do nothing
2023/07/18 05:50:07 [INFO] graphing is cgi, do nothing
2023/07/18 05:55:07 [INFO] graphing is cgi, do nothing
2023/07/18 06:00:07 [INFO] graphing is cgi, do nothing
2023/07/18 06:05:07 [INFO] graphing is cgi, do nothing
2023/07/18 06:10:07 [INFO] graphing is cgi, do nothing
2023/07/18 06:15:07 [INFO] graphing is cgi, do nothing
2023/07/18 06:20:07 [INFO] graphing is cgi, do nothing
2023/07/18 06:25:07 [INFO] graphing is cgi, do nothing
2023/07/18 06:30:07 [INFO] graphing is cgi, do nothing
2023/07/18 06:35:07 [INFO] graphing is cgi, do nothing
2023/07/18 06:40:07 [INFO] graphing is cgi, do nothing
2023/07/18 06:45:07 [INFO] graphing is cgi, do nothing
2023/07/18 06:50:07 [INFO] graphing is cgi, do nothing
2023/07/18 06:55:07 [INFO] graphing is cgi, do nothing
2023/07/18 07:00:07 [INFO] graphing is cgi, do nothing
2023/07/18 07:05:07 [INFO] graphing is cgi, do nothing
2023/07/18 07:10:07 [INFO] graphing is cgi, do nothing
2023/07/18 07:15:07 [INFO] graphing is cgi, do nothing
2023/07/18 07:20:07 [INFO] graphing is cgi, do nothing
2023/07/18 07:25:07 [INFO] graphing is cgi, do nothing
2023/07/18 07:30:07 [INFO] graphing is cgi, do nothing
2023/07/18 07:35:07 [INFO] graphing is cgi, do nothing
2023/07/18 07:40:07 [INFO] graphing is cgi, do nothing
2023/07/18 07:45:07 [INFO] graphing is cgi, do nothing
2023/07/18 07:50:07 [INFO] graphing is cgi, do nothing
2023/07/18 07:55:07 [INFO] graphing is cgi, do nothing
2023/07/18 08:00:07 [INFO] graphing is cgi, do nothing
2023/07/18 08:05:07 [INFO] graphing is cgi, do nothing
2023/07/18 08:10:07 [INFO] graphing is cgi, do nothing
2023/07/18 08:15:07 [INFO] graphing is cgi, do nothing
2023/07/18 08:20:07 [INFO] graphing is cgi, do nothing
2023/07/18 08:25:07 [INFO] graphing is cgi, do nothing
2023/07/18 08:30:07 [INFO] graphing is cgi, do nothing
2023/07/18 08:35:07 [INFO] graphing is cgi, do nothing
2023/07/18 08:40:07 [INFO] graphing is cgi, do nothing
2023/07/18 08:45:07 [INFO] graphing is cgi, do nothing
2023/07/18 08:50:07 [INFO] graphing is cgi, do nothing
2023/07/18 08:55:07 [INFO] graphing is cgi, do nothing
2023/07/18 09:00:07 [INFO] graphing is cgi, do nothing
2023/07/18 09:05:07 [INFO] graphing is cgi, do nothing
2023/07/18 09:10:07 [INFO] graphing is cgi, do nothing
2023/07/18 09:15:07 [INFO] graphing is cgi, do nothing
2023/07/18 09:20:07 [INFO] graphing is cgi, do nothing
2023/07/18 09:25:07 [INFO] graphing is cgi, do nothing
2023/07/18 09:30:07 [INFO] graphing is cgi, do nothing
2023/07/18 09:35:07 [INFO] graphing is cgi, do nothing
2023/07/18 09:40:07 [INFO] graphing is cgi, do nothing
2023/07/18 09:45:07 [INFO] graphing is cgi, do nothing
2023/07/18 09:50:07 [INFO] graphing is cgi, do nothing
2023/07/18 09:55:07 [INFO] graphing is cgi, do nothing
2023/07/18 10:00:07 [INFO] graphing is cgi, do nothing
2023/07/18 10:05:07 [INFO] graphing is cgi, do nothing
2023/07/18 10:10:07 [INFO] graphing is cgi, do nothing
2023/07/18 10:15:07 [INFO] graphing is cgi, do nothing
2023/07/18 10:20:07 [INFO] graphing is cgi, do nothing
2023/07/18 10:25:07 [INFO] graphing is cgi, do nothing
2023/07/18 10:30:07 [INFO] graphing is cgi, do nothing
2023/07/18 10:35:07 [INFO] graphing is cgi, do nothing
2023/07/18 10:40:07 [INFO] graphing is cgi, do nothing
2023/07/18 10:45:07 [INFO] graphing is cgi, do nothing
2023/07/18 10:50:07 [INFO] graphing is cgi, do nothing
2023/07/18 10:55:07 [INFO] graphing is cgi, do nothing
